Brand,Resolution,Size ,Selling Price,Original Price
TOSHIBA,Ultra HD LED,55,37999,54990
TCL ,QLED Ultra HD,55,52999,129990
realme ,HD LED,32,13999,17999
Mi ,HD LED,32,14999,19999
realme ,HD LED,32,12999,21999
OnePlus,HD LED,32,15999,19999
OnePlus,Full HD LED,43,25999,29999
TCL ,Ultra HD LED,65,57999,119990
Mi ,Full HD LED,40,21999,29999
realme ,Ultra HD LED,43,26999,32999
Mi ,Ultra HD LED,43,27999,34999
Hisense,Ultra HD LED,55,36999,49990
Mi ,Ultra HD LED,50,35999,41999
Mi ,HD LED,32,15499,19999
Mi ,HD LED,32,14999,19999
Hisense,Ultra HD LED,70,89999,119990
LG ,HD LED,32,17499,21990
Mi ,Full HD LED,43,25999,31999
Mi ,Ultra HD LED,55,45999,69999
TOSHIBA,Ultra HD LED,43,27999,39990
MarQ by Flipkart,HD LED,32,9999,19999
Mi ,Ultra HD LED,43,31999,49999
iFFALCON by TCL,Ultra HD LED,55,32999,70990
TCL ,Ultra HD LED,50,33999,62990
OnePlus,Full HD LED,40,22499,27999
Coocaa ,HD LED,32,10999,36990
TOSHIBA,HD LED,32,12499,14990
Mi ,Full HD LED,43,24999,34999
SAMSUNG,Ultra HD LED,43,38990,54900
Mi ,Ultra HD LED,55,42999,49999
LG ,Full HD LED,43,33490,40990
Infinix,Full HD LED,43,20499,24999
Mi ,Ultra HD LED,50,41999,59999
Infinix,HD LED,32,11999,17999
LG ,Ultra HD LED,55,52999,79990
Vu,Ultra HD LED,55,46999,85000
Nokia ,Ultra HD LED,43,32999,48999
Vu,Ultra HD LED,43,31000,39999
Nokia ,Ultra HD LED,50,39999,59999
Thomson,Ultra HD LED,50,32999,40999
Thomson,HD LED,24,8499,10499
Mi ,QLED Ultra HD,55,58999,59999
OnePlus,Ultra HD LED,55,49999,59999
Vu,Ultra HD LED,50,40999,65000
LG ,Ultra HD LED,43,42990,59990
iFFALCON by TCL,Ultra HD LED,43,24999,47990
Nokia ,Ultra HD LED,43,31999,45999
Thomson,Full HD LED,42,20499,27999
Thomson,Ultra HD LED,55,34999,46999
